index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,yaw_rate
200,waymo_train,waymo_500-799,25101,590;ego,ego,"range(0, 39)",0.1,0.37,0.5,39,1.0
201,waymo_train,waymo_500-799,25331,765;ego,ego,"range(11, 52)",0.1,0.37,0.5,41,1.0
202,waymo_train,waymo_500-799,81293,1201;ego,ego,"range(3, 43)",0.1,0.37,0.5,40,0.9488297144910962
203,waymo_train,waymo_500-799,81963,1166;ego,ego,"range(8, 74)",0.1,0.37,0.5,66,1.0
204,waymo_train,waymo_500-799,82079,603;611;ego,ego,"range(30, 71)",0.1,0.37,0.5,41,1.0
205,waymo_train,waymo_500-799,30061,627;ego,ego,"range(7, 56)",0.1,0.37,0.5,49,1.0
206,waymo_train,waymo_500-799,31145,514;ego,ego,"range(20, 68)",0.1,0.37,0.5,48,1.0
207,waymo_train,waymo_500-799,85831,55;ego,ego,"range(0, 33)",0.1,0.37,0.5,33,1.0
208,waymo_train,waymo_500-799,32999,458;ego,ego,"range(30, 73)",0.1,0.37,0.5,43,1.0
209,waymo_train,waymo_500-799,33356,182;ego,ego,"range(0, 61)",0.1,0.37,0.5,61,1.0
210,waymo_train,waymo_500-799,87038,32;ego,ego,"range(0, 49)",0.1,0.37,0.5,49,1.0
211,waymo_train,waymo_500-799,34141,3864;ego,ego,"range(9, 71)",0.1,0.37,0.5,62,1.0
212,waymo_train,waymo_500-799,87917,1443;ego,ego,"range(10, 52)",0.1,0.37,0.5,42,1.0
213,waymo_train,waymo_500-799,35190,2678;ego,ego,"range(0, 42)",0.1,0.37,0.5,42,1.0
214,waymo_train,waymo_500-799,3625,56;ego,ego,"range(3, 46)",0.1,0.37,0.5,43,1.0
215,waymo_train,waymo_500-799,90559,1061;ego,ego,"range(0, 34)",0.1,0.37,0.5,34,1.0
216,waymo_train,waymo_500-799,90736,950;ego,ego,"range(18, 74)",0.1,0.37,0.5,56,1.0
217,waymo_train,waymo_500-799,90874,1393;ego,ego,"range(11, 52)",0.1,0.37,0.5,41,1.0
218,waymo_train,waymo_500-799,39025,2139;ego,ego,"range(30, 90)",0.1,0.37,0.5,60,0.9999206256989001
219,waymo_train,waymo_500-799,93026,813;ego,ego,"range(26, 68)",0.1,0.37,0.5,42,0.8573771075701706
220,waymo_train,waymo_500-799,93061,2308;ego,ego,"range(21, 83)",0.1,0.37,0.5,62,1.0
221,waymo_train,waymo_500-799,4008,3406;ego,ego,"range(2, 60)",0.1,0.37,0.5,58,1.0
222,waymo_train,waymo_500-799,95655,2263;ego,ego,"range(28, 76)",0.1,0.37,0.5,48,1.0
223,waymo_train,waymo_500-799,42218,1727;ego,ego,"range(0, 31)",0.1,0.37,0.5,31,1.0
224,waymo_train,waymo_500-799,96628,368;ego,ego,"range(0, 39)",0.1,0.37,0.5,39,1.0
225,waymo_train,waymo_500-799,42375,1696;ego,ego,"range(0, 36)",0.1,0.37,0.5,36,1.0
226,waymo_train,waymo_500-799,43410,44;ego,ego,"range(0, 32)",0.1,0.37,0.5,32,0.9986675576970692
227,waymo_train,waymo_500-799,97969,1118;ego,ego,"range(12, 69)",0.1,0.37,0.5,57,1.0
228,waymo_train,waymo_500-799,98656,1095;ego,ego,"range(0, 53)",0.1,0.37,0.5,53,1.0
229,waymo_train,waymo_500-799,98967,1500;ego,ego,"range(2, 43)",0.1,0.37,0.5,41,1.0
230,waymo_train,waymo_500-799,99151,1849;ego,ego,"range(21, 81)",0.1,0.37,0.5,60,1.0
231,waymo_train,waymo_500-799,44676,944;ego,ego,"range(0, 50)",0.1,0.37,0.5,50,1.0
232,waymo_train,waymo_500-799,100380,2078;ego,ego,"range(0, 52)",0.1,0.37,0.5,52,1.0
233,waymo_train,waymo_500-799,100647,876;ego,ego,"range(7, 56)",0.1,0.37,0.5,49,1.0
234,waymo_train,waymo_500-799,45989,160;ego,ego,"range(5, 62)",0.1,0.37,0.5,57,1.0
235,waymo_train,waymo_500-799,10116,1648;ego,ego,"range(0, 49)",0.1,0.37,0.5,49,1.0
236,waymo_train,waymo_500-799,101640,167;ego,ego,"range(14, 64)",0.1,0.37,0.5,50,1.0
237,waymo_train,waymo_500-799,4681,1115;ego,ego,"range(0, 37)",0.1,0.37,0.5,37,1.0
238,waymo_train,waymo_500-799,47049,434;ego,ego,"range(0, 30)",0.1,0.37,0.5,30,1.0
239,waymo_train,waymo_500-799,47659,299;ego,ego,"range(0, 39)",0.1,0.37,0.5,39,1.0
240,waymo_train,waymo_500-799,103293,56;ego,ego,"range(43, 86)",0.1,0.37,0.5,43,1.0
241,waymo_train,waymo_500-799,48880,2234;ego,ego,"range(24, 81)",0.1,0.37,0.5,57,1.0
242,waymo_train,waymo_500-799,48999,7;ego,ego,"range(4, 49)",0.1,0.37,0.5,45,1.0
243,waymo_train,waymo_500-799,49134,45;ego,ego,"range(8, 48)",0.1,0.37,0.5,40,0.976540866596396
244,waymo_train,waymo_500-799,105075,152;ego,ego,"range(0, 35)",0.1,0.37,0.5,35,1.0
245,waymo_train,waymo_500-799,50425,1865;ego,ego,"range(9, 57)",0.1,0.37,0.5,48,1.0
246,waymo_train,waymo_500-799,108045,575;ego,ego,"range(0, 55)",0.1,0.37,0.5,55,1.0
